./scripts/with-fastdds.sh bash -c 'cd interop/fastdds/shapes && ./shapes_sub 45'
[shapes_sub] matched change: 1 total: 1
[shapes_sub] 105: color=ORANGE x=117 y=220 size=30
[shapes_sub] 106: color=ORANGE x=114 y=218 size=30
[shapes_sub] 107: color=ORANGE x=111 y=216 size=30
[shapes_sub] 108: color=ORANGE x=108 y=214 size=30
[shapes_sub] 109: color=ORANGE x=105 y=212 size=30
[shapes_sub] 110: color=ORANGE x=102 y=210 size=30
[shapes_sub] 111: color=ORANGE x=99 y=208 size=30
[shapes_sub] 112: color=ORANGE x=96 y=206 size=30
[shapes_sub] 113: color=ORANGE x=93 y=204 size=30
[shapes_sub] 114: color=ORANGE x=90 y=202 size=30
[shapes_sub] 115: color=ORANGE x=87 y=200 size=30
[shapes_sub] 116: color=ORANGE x=84 y=198 size=30
[shapes_sub] 117: color=ORANGE x=81 y=196 size=30
[shapes_sub] 118: color=ORANGE x=78 y=194 size=30
[shapes_sub] 119: color=ORANGE x=75 y=192 size=30
[shapes_sub] 120: color=ORANGE x=72 y=190 size=30
[shapes_sub] 121: color=ORANGE x=69 y=188 size=30
[shapes_sub] 122: color=ORANGE x=66 y=186 size=30
[shapes_sub] 123: color=ORANGE x=63 y=184 size=30
[shapes_sub] 124: color=ORANGE x=60 y=182 size=30
[shapes_sub] 125: color=ORANGE x=57 y=180 size=30
[shapes_sub] 126: color=ORANGE x=54 y=178 size=30
[shapes_sub] 127: color=ORANGE x=51 y=176 size=30
[shapes_sub] 128: color=ORANGE x=48 y=174 size=30
[shapes_sub] 129: color=ORANGE x=45 y=172 size=30
[shapes_sub] 130: color=ORANGE x=42 y=170 size=30
[shapes_sub] 131: color=ORANGE x=39 y=168 size=30
[shapes_sub] 132: color=ORANGE x=36 y=166 size=30
[shapes_sub] 133: color=ORANGE x=33 y=164 size=30
[shapes_sub] 134: color=ORANGE x=30 y=162 size=30
[shapes_sub] 135: color=ORANGE x=27 y=160 size=30
[shapes_sub] 136: color=ORANGE x=24 y=158 size=30
[shapes_sub] 137: color=ORANGE x=21 y=156 size=30
[shapes_sub] 138: color=ORANGE x=18 y=154 size=30
[shapes_sub] 139: color=ORANGE x=15 y=152 size=30
[shapes_sub] 140: color=ORANGE x=12 y=150 size=30
[shapes_sub] 141: color=ORANGE x=9 y=148 size=30
[shapes_sub] 142: color=ORANGE x=6 y=146 size=30
[shapes_sub] 143: color=ORANGE x=3 y=144 size=30
[shapes_sub] 144: color=ORANGE x=0 y=142 size=30
[shapes_sub] 145: color=ORANGE x=3 y=140 size=30
[shapes_sub] 146: color=ORANGE x=6 y=138 size=30
[shapes_sub] 147: color=ORANGE x=9 y=136 size=30
[shapes_sub] 148: color=ORANGE x=12 y=134 size=30
[shapes_sub] 149: color=ORANGE x=15 y=132 size=30
[shapes_sub] 150: color=ORANGE x=18 y=130 size=30
[shapes_sub] 151: color=ORANGE x=21 y=128 size=30
[shapes_sub] 152: color=ORANGE x=24 y=126 size=30
[shapes_sub] 153: color=ORANGE x=27 y=124 size=30
[shapes_sub] 154: color=ORANGE x=30 y=122 size=30
[shapes_sub] 155: color=ORANGE x=33 y=120 size=30
[shapes_sub] 156: color=ORANGE x=36 y=118 size=30
[shapes_sub] 157: color=ORANGE x=39 y=116 size=30
[shapes_sub] 158: color=ORANGE x=42 y=114 size=30
[shapes_sub] 159: color=ORANGE x=45 y=112 size=30
[shapes_sub] 160: color=ORANGE x=48 y=110 size=30
[shapes_sub] 161: color=ORANGE x=51 y=108 size=30
[shapes_sub] 162: color=ORANGE x=54 y=106 size=30
[shapes_sub] 163: color=ORANGE x=57 y=104 size=30
[shapes_sub] 164: color=ORANGE x=60 y=102 size=30
[shapes_sub] 165: color=ORANGE x=63 y=100 size=30
[shapes_sub] 166: color=ORANGE x=66 y=98 size=30
[shapes_sub] 167: color=ORANGE x=69 y=96 size=30
