./scripts/with-fastdds.sh bash -c 'cd interop/fastdds/shapes && ./shapes_sub 40'
[shapes_sub] matched change: 1 total: 1
[shapes_sub] 1: color=BLUE x=53 y=52 size=30
[shapes_sub] 2: color=BLUE x=56 y=54 size=30
[shapes_sub] 3: color=BLUE x=59 y=56 size=30
[shapes_sub] 4: color=BLUE x=62 y=58 size=30
[shapes_sub] 5: color=BLUE x=65 y=60 size=30
[shapes_sub] 6: color=BLUE x=68 y=62 size=30
[shapes_sub] 7: color=BLUE x=71 y=64 size=30
[shapes_sub] 8: color=BLUE x=74 y=66 size=30
[shapes_sub] 9: color=BLUE x=77 y=68 size=30
[shapes_sub] 10: color=BLUE x=80 y=70 size=30
[shapes_sub] 11: color=BLUE x=83 y=72 size=30
[shapes_sub] 12: color=BLUE x=86 y=74 size=30
[shapes_sub] 13: color=BLUE x=89 y=76 size=30
[shapes_sub] 14: color=BLUE x=92 y=78 size=30
[shapes_sub] 15: color=BLUE x=95 y=80 size=30
[shapes_sub] 16: color=BLUE x=98 y=82 size=30
[shapes_sub] 17: color=BLUE x=101 y=84 size=30
[shapes_sub] 18: color=BLUE x=104 y=86 size=30
[shapes_sub] 19: color=BLUE x=107 y=88 size=30
[shapes_sub] 20: color=BLUE x=110 y=90 size=30
[shapes_sub] 21: color=BLUE x=113 y=92 size=30
[shapes_sub] 22: color=BLUE x=116 y=94 size=30
[shapes_sub] 23: color=BLUE x=119 y=96 size=30
[shapes_sub] 24: color=BLUE x=122 y=98 size=30
[shapes_sub] 25: color=BLUE x=125 y=100 size=30
[shapes_sub] 26: color=BLUE x=128 y=102 size=30
[shapes_sub] 27: color=BLUE x=131 y=104 size=30
[shapes_sub] 28: color=BLUE x=134 y=106 size=30
[shapes_sub] 29: color=BLUE x=137 y=108 size=30
[shapes_sub] 30: color=BLUE x=140 y=110 size=30
[shapes_sub] 31: color=BLUE x=143 y=112 size=30
[shapes_sub] 32: color=BLUE x=146 y=114 size=30
[shapes_sub] 33: color=BLUE x=149 y=116 size=30
[shapes_sub] 34: color=BLUE x=152 y=118 size=30
[shapes_sub] 35: color=BLUE x=155 y=120 size=30
[shapes_sub] 36: color=BLUE x=158 y=122 size=30
[shapes_sub] 37: color=BLUE x=161 y=124 size=30
[shapes_sub] 38: color=BLUE x=164 y=126 size=30
[shapes_sub] 39: color=BLUE x=167 y=128 size=30
[shapes_sub] 40: color=BLUE x=170 y=130 size=30
[shapes_sub] 41: color=BLUE x=173 y=132 size=30
[shapes_sub] 42: color=BLUE x=176 y=134 size=30
[shapes_sub] 43: color=BLUE x=179 y=136 size=30
[shapes_sub] 44: color=BLUE x=182 y=138 size=30
[shapes_sub] 45: color=BLUE x=185 y=140 size=30
[shapes_sub] 46: color=BLUE x=188 y=142 size=30
[shapes_sub] 47: color=BLUE x=191 y=144 size=30
[shapes_sub] 48: color=BLUE x=194 y=146 size=30
[shapes_sub] 49: color=BLUE x=197 y=148 size=30
[shapes_sub] 50: color=BLUE x=200 y=150 size=30
[shapes_sub] 51: color=BLUE x=203 y=152 size=30
[shapes_sub] 52: color=BLUE x=206 y=154 size=30
[shapes_sub] 53: color=BLUE x=209 y=156 size=30
[shapes_sub] 54: color=BLUE x=212 y=158 size=30
[shapes_sub] 55: color=BLUE x=215 y=160 size=30
[shapes_sub] 56: color=BLUE x=218 y=162 size=30
[shapes_sub] 57: color=BLUE x=221 y=164 size=30
[shapes_sub] 58: color=BLUE x=224 y=166 size=30
[shapes_sub] 59: color=BLUE x=227 y=168 size=30
[shapes_sub] 60: color=BLUE x=230 y=170 size=30
[shapes_sub] 61: color=BLUE x=233 y=172 size=30
[shapes_sub] 62: color=BLUE x=236 y=174 size=30
[shapes_sub] 63: color=BLUE x=239 y=176 size=30
[shapes_sub] 64: color=BLUE x=240 y=178 size=30
[shapes_sub] 65: color=BLUE x=237 y=180 size=30
[shapes_sub] 66: color=BLUE x=234 y=182 size=30
[shapes_sub] 67: color=BLUE x=231 y=184 size=30
[shapes_sub] 68: color=BLUE x=228 y=186 size=30
[shapes_sub] 69: color=BLUE x=225 y=188 size=30
[shapes_sub] 70: color=BLUE x=222 y=190 size=30
[shapes_sub] 71: color=BLUE x=219 y=192 size=30
[shapes_sub] 72: color=BLUE x=216 y=194 size=30
[shapes_sub] 73: color=BLUE x=213 y=196 size=30
[shapes_sub] 74: color=BLUE x=210 y=198 size=30
[shapes_sub] 75: color=BLUE x=207 y=200 size=30
[shapes_sub] 76: color=BLUE x=204 y=202 size=30
[shapes_sub] 77: color=BLUE x=201 y=204 size=30
[shapes_sub] 78: color=BLUE x=198 y=206 size=30
[shapes_sub] 79: color=BLUE x=195 y=208 size=30
[shapes_sub] 80: color=BLUE x=192 y=210 size=30
[shapes_sub] 81: color=BLUE x=189 y=212 size=30
[shapes_sub] 82: color=BLUE x=186 y=214 size=30
[shapes_sub] 83: color=BLUE x=183 y=216 size=30
[shapes_sub] 84: color=BLUE x=180 y=218 size=30
[shapes_sub] 85: color=BLUE x=177 y=220 size=30
[shapes_sub] 86: color=BLUE x=174 y=222 size=30
[shapes_sub] 87: color=BLUE x=171 y=224 size=30
[shapes_sub] 88: color=BLUE x=168 y=226 size=30
[shapes_sub] 89: color=BLUE x=165 y=228 size=30
[shapes_sub] 90: color=BLUE x=162 y=230 size=30
[shapes_sub] 91: color=BLUE x=159 y=232 size=30
[shapes_sub] 92: color=BLUE x=156 y=234 size=30
[shapes_sub] 93: color=BLUE x=153 y=236 size=30
[shapes_sub] 94: color=BLUE x=150 y=238 size=30
[shapes_sub] 95: color=BLUE x=147 y=240 size=30
