[sub] Square/ShapeType[tagged] domain=7 (multicast 239.255.0.1). Ctrl-C to stop.
[sub] Square GREEN x=84 y=198 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=116
[sub] Square GREEN x=81 y=196 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=117
[sub] Square GREEN x=78 y=194 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=118
[sub] Square GREEN x=75 y=192 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=119
[sub] Square GREEN x=72 y=190 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=120
[sub] Square GREEN x=69 y=188 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=121
[sub] Square GREEN x=66 y=186 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=122
[sub] Square GREEN x=63 y=184 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=123
[sub] Square GREEN x=60 y=182 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=124
[sub] Square GREEN x=57 y=180 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=125
[sub] Square GREEN x=54 y=178 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=126
[sub] Square GREEN x=51 y=176 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=127
[sub] Square GREEN x=48 y=174 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=128
[sub] Square GREEN x=45 y=172 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=129
[sub] Square GREEN x=42 y=170 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=130
[sub] Square GREEN x=39 y=168 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=131
[sub] Square GREEN x=36 y=166 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=132
[sub] Square GREEN x=33 y=164 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=133
[sub] Square GREEN x=30 y=162 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=134
[sub] Square GREEN x=27 y=160 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=135
[sub] Square GREEN x=24 y=158 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=136
[sub] Square GREEN x=21 y=156 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=137
[sub] Square GREEN x=18 y=154 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=138
[sub] Square GREEN x=15 y=152 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=139
[sub] Square GREEN x=12 y=150 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=140
[sub] Square GREEN x=9 y=148 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=141
[sub] Square GREEN x=6 y=146 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=142
[sub] Square GREEN x=3 y=144 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=143
[sub] Square GREEN x=0 y=142 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=144
[sub] Square GREEN x=3 y=140 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=145
